X_k,Y_k,score_k,duracion_k,entrada_k,open_k,close_k,categoria,capacidad
35,35,50,1,1,1,230,3,76
41,49,10,10,49,0,204,4,72
35,17,7,10,75,0,202,9,59
55,45,13,10,83,0,197,9,15
55,20,19,10,12,149,159,3,15
15,30,26,10,44,0,199,8,68
25,30,3,10,21,99,109,3,25
20,50,5,10,78,0,198,7,14
10,43,9,10,25,95,105,8,32
55,60,16,10,89,97,107,10,60
30,60,16,10,53,124,134,6,76
20,65,12,10,59,67,77,6,69
50,35,19,10,88,0,205,9,55
30,25,23,10,22,159,169,3,26
15,10,20,10,92,0,187,9,59
30,5,8,10,57,61,71,2,60
10,20,19,10,70,0,190,10,34
5,30,2,10,77,157,167,7,80
20,40,12,10,47,0,204,9,89
15,60,17,10,5,0,187,10,12
45,65,9,10,26,0,188,7,77
45,20,11,10,43,0,201,5,58
45,10,18,10,0,97,107,4,59
55,5,29,10,76,68,78,10,65
65,35,3,10,91,0,190,10,51
65,20,6,10,85,172,182,2,36
45,30,17,10,97,0,208,1,55
35,40,16,10,49,37,47,4,34
41,37,16,10,2,0,213,6,81
64,42,9,10,24,0,190,7,56
40,60,21,10,5,71,81,1,56
31,52,27,10,69,0,202,1,13
35,69,23,10,53,0,186,9,54
53,52,11,10,52,37,47,5,82
65,55,14,10,43,0,183,7,33
63,65,8,10,24,143,153,2,29
2,60,5,10,26,41,51,4,42
20,20,8,10,48,0,198,1,57
5,5,16,10,76,83,93,5,46
60,12,31,10,83,44,54,9,56
40,25,9,10,64,85,95,6,24
42,7,5,10,38,97,107,9,29
24,12,5,10,93,31,41,4,52
23,3,7,10,91,0,185,10,64
11,14,18,10,57,69,79,8,24
6,38,16,10,42,32,42,9,55
2,48,1,10,91,0,184,9,78
8,56,27,10,6,0,185,1,90
13,52,36,10,83,0,192,1,50
6,68,30,10,58,108,118,3,31
47,47,13,10,8,0,203,5,16
49,58,10,10,19,0,193,10,66
27,43,9,10,36,0,208,3,67
37,31,14,10,72,95,105,8,83
57,29,18,10,75,0,197,2,74
63,23,2,10,53,136,146,9,24
53,12,6,10,74,130,140,8,71
32,12,7,10,40,0,196,10,14
36,26,18,10,4,200,210,7,78
21,24,28,10,31,0,202,5,58
17,34,3,10,65,0,201,6,60
12,24,13,10,10,0,194,6,10
24,58,19,10,89,58,68,4,83
27,69,10,10,50,0,185,1,18
15,77,9,10,30,73,83,2,51
62,77,20,10,68,51,61,8,11
49,73,25,10,97,127,137,10,39
67,5,25,10,92,83,93,8,51
56,39,36,10,68,142,152,2,21
37,47,6,10,64,50,60,7,39
37,56,5,10,32,182,192,3,62
57,68,15,10,77,0,180,9,68
47,16,25,10,49,0,197,1,29
44,17,9,10,32,0,199,9,61
46,13,8,10,76,149,159,2,47
49,11,18,10,61,0,192,2,14
49,42,13,10,94,73,83,6,64
53,43,14,10,36,179,189,2,41
61,52,3,10,71,96,106,10,52
57,48,23,10,52,92,102,3,85
56,37,6,10,20,182,192,5,51
55,54,26,10,13,0,192,10,80
15,47,16,10,85,0,196,9,44
14,37,11,10,50,0,198,7,59
11,31,7,10,20,101,111,2,39
16,22,41,10,77,0,196,3,29
4,18,35,10,25,0,184,5,46
28,18,26,10,92,93,103,10,38
26,52,9,10,6,74,84,7,15
26,35,15,10,74,0,211,4,20
31,67,3,10,12,0,187,10,30
15,19,1,10,73,0,194,2,69
22,22,2,10,55,18,28,9,24
18,24,22,10,80,188,198,3,22
26,27,27,10,46,0,207,5,29
25,24,20,10,10,0,205,5,42
22,27,11,10,64,0,204,6,26
25,21,12,10,32,0,202,2,35
19,21,10,10,41,0,198,8,48
20,26,9,10,19,83,93,3,56
35,35,50,1,1,1,230,3,76
41,49,10,10,49,0,204,4,72
35,17,7,10,75,0,202,9,59
55,45,13,10,83,0,197,9,15
55,20,19,10,12,149,159,3,15
15,30,26,10,44,0,199,8,68
25,30,3,10,21,99,109,3,25
20,50,5,10,78,0,198,7,14
10,43,9,10,25,95,105,8,32
55,60,16,10,89,97,107,10,60
30,60,16,10,53,124,134,6,76
20,65,12,10,59,67,77,6,69
50,35,19,10,88,0,205,9,55
30,25,23,10,22,159,169,3,26
15,10,20,10,92,0,187,9,59
30,5,8,10,57,61,71,2,60
10,20,19,10,70,0,190,10,34
5,30,2,10,77,157,167,7,80
20,40,12,10,47,0,204,9,89
15,60,17,10,5,0,187,10,12
45,65,9,10,26,0,188,7,77
45,20,11,10,43,0,201,5,58
45,10,18,10,0,97,107,4,59
55,5,29,10,76,68,78,10,65
65,35,3,10,91,0,190,10,51
65,20,6,10,85,172,182,2,36
45,30,17,10,97,0,208,1,55
35,40,16,10,49,37,47,4,34
41,37,16,10,2,0,213,6,81
64,42,9,10,24,0,190,7,56
40,60,21,10,5,71,81,1,56
31,52,27,10,69,0,202,1,13
35,69,23,10,53,0,186,9,54
53,52,11,10,52,37,47,5,82
65,55,14,10,43,0,183,7,33
63,65,8,10,24,143,153,2,29
2,60,5,10,26,41,51,4,42
20,20,8,10,48,0,198,1,57
5,5,16,10,76,83,93,5,46
60,12,31,10,83,44,54,9,56
40,25,9,10,64,85,95,6,24
42,7,5,10,38,97,107,9,29
24,12,5,10,93,31,41,4,52
23,3,7,10,91,0,185,10,64
11,14,18,10,57,69,79,8,24
6,38,16,10,42,32,42,9,55
2,48,1,10,91,0,184,9,78
8,56,27,10,6,0,185,1,90
13,52,36,10,83,0,192,1,50
6,68,30,10,58,108,118,3,31
