X_k;Y_k;score_k;duracion_k;entrada_k;open_k;close_k;categoria;capacidad
40;50;1;1;1;1;1236;8;10
45;68;10;90;34;885;994;7;79
45;70;30;90;55;802;893;4;28
42;66;10;90;9;25;186;2;68
42;68;10;90;18;699;810;4;25
42;65;10;90;20;15;120;7;56
40;69;20;90;79;580;743;10;48
40;66;20;90;65;142;253;7;44
38;68;20;90;78;220;359;1;18
38;70;10;90;59;499;640;7;39
35;66;10;90;31;331;436;7;39
35;69;10;90;42;420;533;3;22
25;85;20;90;73;617;756;9;20
22;75;30;90;68;30;155;9;74
22;85;10;90;41;541;646;3;23
20;80;40;90;14;362;451;4;52
20;85;40;90;77;448;555;2;20
18;75;20;90;28;75;172;8;52
15;75;20;90;5;142;291;5;55
15;80;10;90;21;244;379;6;85
30;50;10;90;23;10;137;9;15
30;52;20;90;69;888;991;5;83
28;52;20;90;79;776;919;3;72
28;55;10;90;47;709;800;8;81
25;50;10;90;71;25;184;8;42
25;52;40;90;49;142;251;4;46
25;55;10;90;27;582;741;9;69
23;52;10;90;55;234;343;5;80
23;55;20;90;85;523;616;8;82
20;50;10;90;66;335;428;2;22
20;55;10;90;63;422;531;7;57
10;35;20;90;88;181;256;2;15
10;40;30;90;82;31;170;10;13
8;40;40;90;44;52;193;9;59
8;45;20;90;61;719;848;8;60
5;35;10;90;48;252;375;1;18
5;45;10;90;40;639;742;9;46
2;40;20;90;41;357;460;4;44
0;40;30;90;62;457;544;7;42
0;45;20;90;28;538;653;4;79
35;30;10;90;7;236;349;5;25
35;32;10;90;94;132;269;10;75
33;32;20;90;90;27;190;2;21
33;35;10;90;2;16;144;10;79
32;30;10;90;58;332;439;6;70
30;30;10;90;52;512;629;9;83
30;32;30;90;41;417;540;2;25
30;35;10;90;86;982;1127;4;10
